,course,ccm_web_site,social_media,community_event,family_member_or_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in-app_advertisement,employer,billboard,television,radio,other,program,interest,gender,race,age
26,CMP 239,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Non Degree seeking,5.0,Woman,Hispanic,35-64
27,CMP 239,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Don't recall,Business Administration,2.0,Woman,Hispanic,19-20
28,CMP 128,Yes,No,No,Yes,Yes,No,No,No,No,No,Don't recall,No,No,No,CIS Game Development Option,,Man,White,21-24
29,CMP 128,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Woman,White,19-20
30,CMP 128,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Mechanical Engineering Technology,1.0,Man,Multi-Racial,19-20
31,CMP 128,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Don't recall,Mechanical Engineering Technology ,3.0,Man,White,21-24
32,CMP 239,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Don't recall,Information Technology,,Man,White,19-20
33,CMP 128,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Mechanical Engineering,3.0,Woman,Hispanic,21-24
34,CMP 128,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Computer Science,,Woman,Hispanic,18 and younger
35,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Non Degree seeking,3.0,Man,Asian,19-20
36,CMP 128,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Mechanical Engineering Tech,3.0,Man,White,21-24
37,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Business Administration,4.0,Woman,White,19-20
38,CMP 128,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,Hispanic,21-24
